"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 06 14:42:26 GMT 2024","Mon May 06 14:42:26 GMT 2024","0","PlaywrightAutoTests","EdgeTests","org.playground.CheckoutPersonTest","org.playground.CheckoutPersonTest","negativeMaximumLengthTest","negativeMaximumLengthTest",""
"passed","Mon May 06 14:42:05 GMT 2024","Mon May 06 14:42:05 GMT 2024","60","PlaywrightAutoTests","ChromeTests","org.playground.BurgerMenuTest","org.playground.BurgerMenuTest","checkMenuStructure","checkMenuStructure",""
"passed","Mon May 06 14:42:07 GMT 2024","Mon May 06 14:42:08 GMT 2024","945","PlaywrightAutoTests","ChromiumTests","org.playground.BurgerMenuTest","org.playground.BurgerMenuTest","checkResetAppState","checkResetAppState",""
"passed","Mon May 06 14:41:44 GMT 2024","Mon May 06 14:41:45 GMT 2024","405","PlaywrightAutoTests","FirefoxTests","org.playground.AuthenticationTest","org.playground.AuthenticationTest","negativeLogin","negativeLogin",""
"passed","Mon May 06 14:42:05 GMT 2024","Mon May 06 14:42:06 GMT 2024","998","PlaywrightAutoTests","EdgeTests","org.playground.BurgerMenuTest","org.playground.BurgerMenuTest","checkResetAppState","checkResetAppState",""
"passed","Mon May 06 14:41:54 GMT 2024","Mon May 06 14:41:54 GMT 2024","80","PlaywrightAutoTests","ChromiumTests","org.playground.ProductsTest","org.playground.ProductsTest","checkPageStructure","checkPageStructure",""
"passed","Mon May 06 14:42:05 GMT 2024","Mon May 06 14:42:05 GMT 2024","27","PlaywrightAutoTests","EdgeTests","org.playground.BurgerMenuTest","org.playground.BurgerMenuTest","checkMenuStructure","checkMenuStructure",""
"passed","Mon May 06 14:41:43 GMT 2024","Mon May 06 14:41:44 GMT 2024","571","PlaywrightAutoTests","EdgeTests","org.playground.AuthenticationTest","org.playground.AuthenticationTest","login","login",""
"passed","Mon May 06 14:42:14 GMT 2024","Mon May 06 14:42:14 GMT 2024","55","PlaywrightAutoTests","ChromiumTests","org.playground.CheckoutPersonTest","org.playground.CheckoutPersonTest","cancelCheck","cancelCheck",""
"broken","Mon May 06 14:42:21 GMT 2024","Mon May 06 14:42:52 GMT 2024","31396","PlaywrightAutoTests","SafariTests","org.playground.CheckoutE2ETest","org.playground.CheckoutE2ETest","orderCheckoutE2E","orderCheckoutE2E",""
"passed","Mon May 06 14:42:03 GMT 2024","Mon May 06 14:42:04 GMT 2024","1194","PlaywrightAutoTests","SafariTests","org.playground.BurgerMenuTest","org.playground.BurgerMenuTest","checkLogout","checkLogout",""
"passed","Mon May 06 14:42:13 GMT 2024","Mon May 06 14:42:14 GMT 2024","120","PlaywrightAutoTests","FirefoxTests","org.playground.CartPageTest","org.playground.CartPageTest","cartItemsCheck","cartItemsCheck",""
"passed","Mon May 06 14:42:14 GMT 2024","Mon May 06 14:42:14 GMT 2024","111","PlaywrightAutoTests","ChromiumTests","org.playground.CheckoutPersonTest","org.playground.CheckoutPersonTest","negativeLogin","negativeLogin",""
"passed","Mon May 06 14:41:52 GMT 2024","Mon May 06 14:41:53 GMT 2024","879","PlaywrightAutoTests","EdgeTests","org.playground.ProductsTest","org.playground.ProductsTest","addAndRemoveItemsFromProduct","addAndRemoveItemsFromProduct",""
"passed","Mon May 06 14:41:54 GMT 2024","Mon May 06 14:41:55 GMT 2024","1717","PlaywrightAutoTests","FirefoxTests","org.playground.ProductsTest","org.playground.ProductsTest","checkProductDetails","checkProductDetails",""
"passed","Mon May 06 14:42:09 GMT 2024","Mon May 06 14:42:09 GMT 2024","149","PlaywrightAutoTests","EdgeTests","org.playground.CartPageTest","org.playground.CartPageTest","cartItemsCheck","cartItemsCheck",""
"passed","Mon May 06 14:42:11 GMT 2024","Mon May 06 14:42:11 GMT 2024","127","PlaywrightAutoTests","ChromiumTests","org.playground.CartPageTest","org.playground.CartPageTest","cartItemsCheck","cartItemsCheck",""
"passed","Mon May 06 14:42:10 GMT 2024","Mon May 06 14:42:10 GMT 2024","183","PlaywrightAutoTests","EdgeTests","org.playground.CartPageTest","org.playground.CartPageTest","checkoutCheck","checkoutCheck",""
"passed","Mon May 06 14:42:10 GMT 2024","Mon May 06 14:42:11 GMT 2024","189","PlaywrightAutoTests","EdgeTests","org.playground.CartPageTest","org.playground.CartPageTest","removeCartItemCheck","removeCartItemCheck",""
"passed","Mon May 06 14:41:44 GMT 2024","Mon May 06 14:41:44 GMT 2024","578","PlaywrightAutoTests","EdgeTests","org.playground.AuthenticationTest","org.playground.AuthenticationTest","negativeLogin","negativeLogin",""
"passed","Mon May 06 14:42:15 GMT 2024","Mon May 06 14:42:15 GMT 2024","104","PlaywrightAutoTests","ChromiumTests","org.playground.CheckoutPersonTest","org.playground.CheckoutPersonTest","negativeLogin","negativeLogin",""
"passed","Mon May 06 14:41:54 GMT 2024","Mon May 06 14:41:55 GMT 2024","1674","PlaywrightAutoTests","EdgeTests","org.playground.ProductsTest","org.playground.ProductsTest","checkProductDetails","checkProductDetails",""
